"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",male,55-64,"Mid Month  | 15-17June 2026",19.02970166,588,744,15,13,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",male,65+,"Mid Month  | 15-17June 2026",18.97957073,507,645,13,10,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",male,35-44,"Mid Month  | 15-17June 2026",18.53996724,546,745,5,4,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",female,55-64,"Mid Month  | 15-17June 2026",17.72821732,396,506,11,7,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",female,18-24,"Double Day 6.6 | 1-7June 2026",17.68186653,658,854,13,11,6,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",17.47,295,344,10,11,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Lookalike",female,45-54,"Mid Month  | 15-17June 2026",17.13457157,483,599,15,11,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",male,25-34,"Double Day 6.6 | 1-7June 2026",16.78,630,793,12,9,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,65+,"ผ่อนทอง 0% June 2026",16.74765091,1166,1434,29,26,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,55-64,"ผ่อนทอง 0% June 2026",16.01104369,901,1453,24,19,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",male,55-64,"Live | 10 June 2026",15.56096852,461,487,7,5,,,,2026-06-01,2026-06-17
